factor_id,factor_key,category,category_name,product_name,regret_type,display_name,description,anchor_terms,context_terms,negation_terms,weight,review_mentions
209,scratch_worry,induction,인덕션,쿠쿠 인덕션 3구,심리적 가성비,상판 스크래치,기스 및 파손 걱정,기스|스크래치|깨질|상판,사용|냄비,튼튼|괜찮,1.3,3
210,power_limit,induction,인덕션,쿠쿠 인덕션 3구,기능적 괴리,전력 분배,3구 동시 사용시 화력 저하,동시에|화력|약해짐|3구,전력|조리,충분|문제없,1.2,2
301,anc_noise,earbuds,무선이어폰,애플 에어팟 프로 3,기능적 괴리,노캔 이상음,노이즈캔슬링시 틱틱/끊김/잡음,틱틱|끊김|지직|노캔|노이즈캔슬링,켜면|이상|소리,정상|깨끗,2.8,28
302,price_value,earbuds,무선이어폰,애플 에어팟 프로 3,심리적 가성비,가격 부담,비싼 가격 대비 만족도 낮음,비싸|가격|후회|돈값,애플|프리미엄|가성비,만족|값어치,1.8,11
303,connection_issue,earbuds,무선이어폰,애플 에어팟 프로 3,기능적 괴리,연결 문제,블루투스 끊김 및 연결 불안정,연결|끊김|블루투스|페어링,사람많은|지하철|기기,안정|잘됨,1.8,9
304,ear_pain,earbuds,무선이어폰,애플 에어팟 프로 3,물리적 환경 부적합,착용 통증,장시간 착용시 귀 통증,아프|아파|통증|배겨|귀가,착용|오래|장시간,편안|잘맞,2.0,7
305,call_quality,earbuds,무선이어폰,애플 에어팟 프로 3,기능적 괴리,통화 품질,통화시 상대방에게 소리 안들림,통화|목소리|안들려|마이크,시끄러운|실외|상대방,또렷|잘들림,1.5,5
306,unit_defect,earbuds,무선이어폰,애플 에어팟 프로 3,기능적 괴리,유닛 불량,한쪽만 소리 안나거나 불량,왼쪽|오른쪽|한쪽|불량,유닛|소리|안나,정상|양쪽,2.0,5
307,case_scratch,earbuds,무선이어폰,애플 에어팟 프로 3,관리의 피로도,케이스 기스,케이스에 기스가 잘 남,기스|흠집|긁힘|케이스,보관|주머니,깨끗|괜찮,1.2,5
308,anc_pressure,earbuds,무선이어폰,애플 에어팟 프로 3,물리적 환경 부적합,노캔 압박감,노캔 사용시 멀미/압박감,어지러|멀미|울렁|압박,노캔|ANC,괜찮|적응,1.5,3
309,battery_drain,earbuds,무선이어폰,애플 에어팟 프로 3,기능적 괴리,배터리 소모,배터리가 빨리 닳음,배터리|방전|빨리|닳,사용시간|충전,오래감|충분,1.3,3
310,fit_loose,earbuds,무선이어폰,애플 에어팟 프로 3,물리적 환경 부적합,착용감 헐거움,이어팁이 귀에서 빠짐,빠져|헐거|이어팁|밀착,착용|귀에,잘맞|딱,1.3,2
401,humidity_weak,humidifier,가습기,루메나 가습기,기능적 괴리,가습량 부족,습도가 기대만큼 안올라감,가습량|습도|안올라|부족|적어,건조|방|면적|5단,충분|올라,2.8,50
402,noise_operation,humidifier,가습기,루메나 가습기,물리적 환경 부적합,작동 소음,가습기 작동 소리가 큼,소음|소리|시끄|물소리,밤에|수면|작동,조용|괜찮,2.2,26
403,cleaning_daily,humidifier,가습기,루메나 가습기,관리의 피로도,매일 세척,물통 구석구석 매일 세척 필요,세척|닦|물때|매일|청소,물통|관리|귀찮,간편|쉬움,2.0,22
404,skin_discomfort,humidifier,가습기,루메나 가습기,물리적 환경 부적합,피부 불편,가습기 사용 후 피부 불편,간지러움|따가|불편|피부,사용후|눈|목,괜찮|좋아짐,1.5,17
405,floor_wet,humidifier,가습기,루메나 가습기,물리적 환경 부적합,바닥 젖음,가습기 주변 바닥이 축축해짐,젖|축축|물바다|바닥,주변|아래|분무,뽀송|괜찮,1.8,16
406,cold_mist,humidifier,가습기,루메나 가습기,물리적 환경 부적합,차가운 분무,가습하면 방이 추워짐,추워|차가|냉기|따뜻한,겨울|분무|온도,괜찮|상관없,1.5,12
407,smell_issue,humidifier,가습기,루메나 가습기,물리적 환경 부적합,냄새,물통이나 분무에서 냄새,냄새|비린|쉰내|냄새나,물|필터|며칠,없음|쾌적,1.5,9
408,remote_fail,humidifier,가습기,루메나 가습기,기능적 괴리,리모컨 불량,리모컨 작동 안됨,리모컨|안됨|작동|반응,조작|버튼,잘됨|정상,1.5,9
409,uv_doubt,humidifier,가습기,루메나 가습기,심리적 가성비,UV 효과 의심,UV 살균이 사기 같음,UV|살균|사기|효과|의심,램프|위생|광고,효과있|확인,1.5,6
410,tank_weight,humidifier,가습기,루메나 가습기,관리의 피로도,물통 무게,물통이 무거워서 이동 불편,무거|들기|물통|급수,이동|채우,가벼움|편함,1.2,5
501,noise_extreme,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,물리적 환경 부적합,심한 소음,청소기 소음이 매우 큼,소음|소리|시끄러워서|크고,작동|청소|밤에,조용|괜찮,3.0,99
502,cleaning_filter,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,관리의 피로도,필터/먼지통 관리,매번 필터 털고 세척해야 함,필터|먼지통|털어야|세척|솔로,매번|귀찮|청소,간단|쉬움,2.5,63
503,battery_short,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,기능적 괴리,배터리 부족,싱글 두개 하면 배터리 끝,배터리|충전|방전|끝나|꺼져,싱글|퀸|완충,충분|오래,2.0,30
504,suction_weak,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,기능적 괴리,흡입력 저하,사용할수록 흡입력 떨어짐,흡입력|약하|효과|떨어,두번째|사용할수록,유지|강함,2.0,28
505,navigation_fail,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,기능적 괴리,주행 문제,한자리만 맴돌거나 떨어짐,한자리만|맴돌|떨어|헤매|멈춤,침대|가장자리|반복,잘다님|똑똑,2.0,22
506,size_heavy,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,물리적 환경 부적합,크기/무게,생각보다 크고 무거움,크고|무거|부피|크기,보관|들기|이동,적당|가벼움,1.5,15
507,price_regret,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,심리적 가성비,가격 후회,가격 대비 성능 불만족,후회|가격|비싸|돈아깝,대비|실망|기대,만족|값어치,1.5,14
508,stuck_issue,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,기능적 괴리,걸림/멈춤,이불에서 헛바퀴나 걸림,걸려|헛바퀴|못가|멈춤,이불|두꺼운|요철,잘넘어|문제없,1.5,8
509,app_connect,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,기능적 괴리,앱 연결 불량,앱이나 와이파이 연결 불안정,연결|앱|와이파이|안됨,블루투스|페어링,잘됨|연결됨,1.2,8
510,charging_long,bedding_robot,침구로봇,에브리봇 침구 로봇 X1,관리의 피로도,충전 시간,사용 대비 충전이 오래 걸림,충전|오래|느려|시간,대기|기다림,빠름|적당,1.2,4
601,smell_burning,bedding_cleaner,침구청소기,한경희 UV 침구청소기,물리적 환경 부적합,타는 냄새,사용시 플라스틱 타는 냄새,냄새|타는냄새|탄내|플라스틱,사용중|뜨거|건강,없음|괜찮,2.5,19
602,cleaning_filter,bedding_cleaner,침구청소기,한경희 UV 침구청소기,관리의 피로도,필터 관리,필터에 먼지 끼면 약해짐,필터|먼지|막혀|세척,청소|관리|매번,유지|쉬움,2.2,27
603,noise_loud,bedding_cleaner,침구청소기,한경희 UV 침구청소기,물리적 환경 부적합,소음,청소기 소리가 너무 큼,소음|소리|시끄|귀,작동|청소|층간,조용|괜찮,2.0,26
604,water_leak,bedding_cleaner,침구청소기,한경희 UV 침구청소기,기능적 괴리,물샘/내부 젖음,내부에 물이 차거나 젖음,젖|물|새|축축,내부|안에|사용,괜찮|없음,1.8,19
605,suction_weak,bedding_cleaner,침구청소기,한경희 UV 침구청소기,기능적 괴리,흡입력 약함,기대보다 흡입력 약함,흡입력|약하|안빨려|먼지,효과|청소|기대,강함|잘됨,1.8,18
606,weight_heavy,bedding_cleaner,침구청소기,한경희 UV 침구청소기,물리적 환경 부적합,무게,무거워서 손목이 아픔,무거|손목|팔|힘들,사용|들고|청소,가벼움|괜찮,1.8,11
607,price_regret,bedding_cleaner,침구청소기,한경희 UV 침구청소기,심리적 가성비,가격 후회,가격 대비 만족도 낮음,후회|가격|비싸|돈,기대|실망|만원,만족|가성비,1.3,8
608,heat_exhaust,bedding_cleaner,침구청소기,한경희 UV 침구청소기,물리적 환경 부적합,발열,배기구에서 뜨거운 바람,뜨거|열|바람|더워,배기|사용중,괜찮|시원,1.3,5
609,cord_short,bedding_cleaner,침구청소기,한경희 UV 침구청소기,기능적 괴리,코드 길이,전원 코드가 짧음,코드|선|짧아|멀티탭,유선|콘센트,충분|길어,1.2,4
610,used_product,bedding_cleaner,침구청소기,한경희 UV 침구청소기,심리적 가성비,중고품 의심,받은 제품이 중고품 같음,중고|사용감|먼지|뜯었다,새제품|안에,새것|깨끗,1.5,4
701,wall_gap,bookshelf,책장,한샘 샘 책장 5단,기능적 괴리,벽 틈새,걸레받이 때문에 벽과 틈 발생,틈|벌어|벽|유격|새|뒤쪽,설치|걸레받이,딱붙음|괜찮,2.5,35
702,stability_wobble,bookshelf,책장,한샘 샘 책장 5단,심리적 가성비,흔들림/불안정,책장이 흔들리거나 불안정,흔들|기울|불안|약해|쏟아질,고정|안정|무거운,튼튼|안정,2.2,28
703,smell_chemical,bookshelf,책장,한샘 샘 책장 5단,물리적 환경 부적합,새가구 냄새,본드/화학 냄새가 심함,냄새|본드|화학|두통|환기,아이방|새가구,없음|빠짐,2.0,20
704,finish_rough,bookshelf,책장,한샘 샘 책장 5단,심리적 가성비,마감 불량,마감이 거칠거나 구멍 있음,마감|거칠|구멍|다듬이|찍힘,먼지|모서리|뒤쪽,깔끔|매끄럽,1.8,18
705,sticker_mess,bookshelf,책장,한샘 샘 책장 5단,관리의 피로도,스티커 지저분,칸마다 스티커 떼야 함,스티커|칸마다|떼야|지저분,설치후|직접,깔끔|없음,1.3,9
706,shelf_sag,bookshelf,책장,한샘 샘 책장 5단,기능적 괴리,선반 처짐,무거운 책에 선반 휨,휘어|처짐|약해|무거운,책|하중|시간,튼튼|괜찮,1.5,6
707,color_mismatch,bookshelf,책장,한샘 샘 책장 5단,심리적 가성비,색상 차이,화면과 실제 색상 다름,색깔|색상|다름|화면,사진|실물|톤,비슷|똑같,1.2,5
708,size_issue,bookshelf,책장,한샘 샘 책장 5단,물리적 환경 부적합,크기 문제,생각보다 크거나 작음,크다|작다|사이즈|공간,방|배치,딱|적당,1.2,3
709,door_issue,bookshelf,책장,한샘 샘 책장 5단,기능적 괴리,문짝 불량,문이 잘 안닫히거나 틀어짐,문|안닫혀|틀어|문짝,열고|닫을때,잘됨|정상,1.2,3
710,weight_heavy,bookshelf,책장,한샘 샘 책장 5단,물리적 환경 부적합,무게,혼자 옮기기 무거움,무거|무게|힘들|들기,이동|옮기,가벼움|할만,1.0,2
801,size_large,desk,책상,데스커 6단 책상세트,물리적 환경 부적합,크기 문제,생각보다 커서 공간 부족,크다|커서|공간|자리|좁,방|배치|생각보다,적당|딱,2.2,17
802,defect_quality,desk,책상,데스커 6단 책상세트,심리적 가성비,품질 하자,도어 불량 및 마감 문제,도어|불량|마감|하자|기울,안맞|밴딩,정상|완벽,2.0,17
803,price_regret,desk,책상,데스커 6단 책상세트,심리적 가성비,가격 후회,비싼 가격 대비 불만족,가격|비싸|후회|돈|기분,데스커|브랜드|기대,만족|값어치,1.8,11
804,finish_rough,desk,책상,데스커 6단 책상세트,심리적 가성비,마감 품질,마감이 가격대비 아쉬움,마감|저렴|허술|거칠,가격|품질|기대,고급|깔끔,1.5,9
805,cleaning_stain,desk,책상,데스커 6단 책상세트,관리의 피로도,상판 관리,상판에 자국이 잘 남음,자국|얼룩|지워|오염,상판|청소,깨끗|잘됨,1.3,7
806,smell_chemical,desk,책상,데스커 6단 책상세트,물리적 환경 부적합,냄새,눈 맵고 화학 냄새,냄새|눈|매워|화학,목재|환기|아이,없음|빠짐,1.5,6
807,noise_squeak,desk,책상,데스커 6단 책상세트,물리적 환경 부적합,소음,도어나 서랍에서 삐걱 소리,소리|삐걱|끼익|거슬,도어|서랍|열때,조용|괜찮,1.2,4
808,wobble_issue,desk,책상,데스커 6단 책상세트,기능적 괴리,흔들림,책상이 견고하지 않음,흔들|덜컹|약하|불안,사용|타자|작업,견고|튼튼,1.5,3
809,monitor_arm,desk,책상,데스커 6단 책상세트,기능적 괴리,모니터암 불가,프레임 간섭으로 설치 불가,모니터암|설치불가|프레임|클램프,간섭|거치,가능|됨,1.3,3
810,assembly_hard,desk,책상,데스커 6단 책상세트,관리의 피로도,조립 어려움,수평 맞추기 및 조립 어려움,수평|기울|맞춤|조립,설치|직접|라인,완벽|쉬움,1.2,3
901,comfort_pain,chair,의자,시디즈 아이블 의자,물리적 환경 부적합,착석 불편,앉으면 불편하거나 아픔,불편|아프|배겨|엉덩이|허리,앉으면|오래|장시간,편안|잘맞,2.5,26
902,weight_heavy,chair,의자,시디즈 아이블 의자,물리적 환경 부적합,무게,의자가 너무 무거움,무거|무게|힘들|들기,이동|옮기|배송,가벼움|괜찮,1.8,17
903,price_fluctuation,chair,의자,시디즈 아이블 의자,심리적 가성비,가격 변동,인스타 공구에서 더 싼 가격 발견,가격|인스타|공구|차이|할인,며칠뒤|비추,만족|좋은가격,1.8,13
904,floor_scratch,chair,의자,시디즈 아이블 의자,관리의 피로도,바닥 손상,바퀴가 바닥에 자국 남김,바닥|긁|자국|바퀴,마루|장판|이동,괜찮|안남,1.5,6
905,armrest_issue,chair,의자,시디즈 아이블 의자,기능적 괴리,팔걸이 문제,팔걸이 높이 안맞거나 불량,팔걸이|높이|안맞|불량,조절|책상|어깨,맞음|조절됨,1.3,5
906,noise_squeak,chair,의자,시디즈 아이블 의자,물리적 환경 부적합,소음,삐걱거리는 소리,삐걱|소리|끼익|거슬,움직일때|앉을때,조용|괜찮,1.2,3
907,level_tilt,chair,의자,시디즈 아이블 의자,기능적 괴리,수평 문제,의자 수평이 안맞음,수평|기울|안맞|수평계,설치|확인,완벽|수평,1.2,3
908,quality_doubt,chair,의자,시디즈 아이블 의자,심리적 가성비,품질 의심,가격 대비 품질 의심,품질|가격|기대|실망,시디즈|브랜드,만족|좋은,1.2,3
909,height_mismatch,chair,의자,시디즈 아이블 의자,물리적 환경 부적합,높이 문제,책상과 높이가 안맞음,높이|안맞|높아|낮아,책상|자세|조절,딱맞|적당,1.0,2
910,stain_issue,chair,의자,시디즈 아이블 의자,관리의 피로도,오염/얼룩,받았을때 오염 있음,오염|얼룩|묻어|더러,받았는데|상태,깨끗|새것,1.3,2
1001,back_pain,mattress,매트리스,지누스 매트리스,물리적 환경 부적합,허리 통증,자고 일어나면 허리가 아픔,허리|아프|통증|허리가|뻐근,일어날때|자고|매일,편안|좋아짐,3.0,97
1002,sinking_deep,mattress,매트리스,지누스 매트리스,기능적 괴리,과도한 꺼짐,너무 푹신해서 몸이 꺼짐,꺼져서|푹신|파묻|푹꺼져,허리|자세|수면,적당|탄탄,2.5,46
1003,weight_heavy,mattress,매트리스,지누스 매트리스,관리의 피로도,무게,너무 무거워서 이동/청소 힘듦,무거|무게|들기|이동,청소|이사|힘들,가벼움|할만,1.8,19
1004,price_regret,mattress,매트리스,지누스 매트리스,심리적 가성비,가격 후회,가격 대비 만족도 낮음,후회|가격|돈|가성비|쓰레기,비싸|다시는,만족|잘샀,2.0,14
1005,no_showroom,mattress,매트리스,지누스 매트리스,심리적 가성비,체험 불가,쇼룸 없어서 직접 확인 못함,쇼룸|체험|확인|팔리는것,직접|눕어보,있음|가능,1.3,9
1006,edge_collapse,mattress,매트리스,지누스 매트리스,기능적 괴리,가장자리 무너짐,가장자리에 앉으면 꺼짐,가장자리|끝|무너|미끄,앉으면|모서리,탄탄|괜찮,1.5,8
1007,heat_retention,mattress,매트리스,지누스 매트리스,물리적 환경 부적합,열감,메모리폼이 열을 머금어 더움,더워|열|땀|통기,여름|메모리폼,시원|괜찮,1.3,4
1008,size_error,mattress,매트리스,지누스 매트리스,기능적 괴리,사이즈 문제,싱글/슈퍼싱글 혼동,싱글|슈퍼싱글|사이즈|안맞,프레임|작게,딱맞|정확,1.2,6
1009,smell_chemical,mattress,매트리스,지누스 매트리스,물리적 환경 부적합,냄새,개봉시 화학 냄새,냄새|화학|냄새나|환기,개봉|새제품,없음|빠짐,1.2,2
1010,restore_fail,mattress,매트리스,지누스 매트리스,기능적 괴리,복원 불량,압축 해제 후 복원 안됨,복원|안부풀|납작|안펴져,개봉|시간,복원됨|완전,1.2,2
